RoW Tier 5,HUTLK
Row Tier 5,MOTLK
RoW Tier 3,DGCMQ
RoW Tier 3,ORGGP
RoW Tier 3,UTSAN
RoW Tier 1,CAWKN
RoW Tier 3,DGCJM
RoW Tier 3,UTSAN
RoW Tier 3,DGCJM
RoW Tier 1,CAWLC
RoW Tier 3,DGCJM
RoW Tier 1,CAWVC
RoW Tier 3,DGCMQ
RoW Tier 3,ORGGP
RoW Tier 3,UTSAN
RoW Tier 3,DGCSR
RoW Tier 5,TELSR
Preferred Partners,TNRNO
RoW Tier 3,MTNSZ
EU28+2 others,T2SE
EU28+2 others,T2SE
EU28+2 others,T2SE
Preferred Partners,TNRSE
Preferred Partners,TNRSE
Preferred Partners,TNRSE
EU28+2 others,TSMSE
EU28+2 others,ORGCH
EU28+2 others,SUNCH
Preferred Partners,SWCCH
Preferred Partners,CNGTW
Row Tier 5,FETTW
Row Tier 5,TMOTW
RoW Tier 5,BBLTJ
RoW Tier 1,BLNTJ
RoW Tier 5,INDTJ
Row Tier 5,INDTJ
RoW Tier 1,ZAMTZ
Row Tier 3,ZAITZ
RoW Tier 5,TIGTZ
Preferred Partners,VFTZ
RoW Tier 3,AISTH
RoW Tier 3,AWNTH
Preferred Partners,RFUTH
Preferred Partners,TRMTH
RoW Tier 1,MOVTG
Row Tier 5,TGCTG
RoW Tier 1,DGCTO
RoW Tier 2,UCLTO
RoW Tier 3,DGCTT
Row Tier 5,TSTTT
RoW Tier 3,ORGTN
Row Tier 5,TUNTN
Row Tier 5,TTLTN
RoW Tier 1,AVETR
RoW Tier 3,TRCTR
Vodafone networks,VFTR
Row Tier 5,BCTTM
RoW Tier 3,DGCJM
RoW Tier 1,ISLTC
RoW Tier 1,CAWTC
RoW Tier 1,AIRUG
RoW Tier 3,MTNUG
Row Tier 1,WARUG
RoW Tier 1,LIFUA
RoW Tier 2,MTSUA
RoW Tier 1,UKRUA
Preferred Partners,DUAE
RoW Tier 5,ETIAE
EU28+2 others,ORGUK
EU28+2 others,O2UK
EU28+2 others,TMBUK
Vodafone networks,VFUK
RoW Tier 3,AWNUS
RoW Tier 3,AWNUS
Preferred Partners,CGLUS
Preferred Partners,CGLUS
RoW Tier 1,CBWUS
RoW Tier 1,CMMUS
RoW Tier 1,IMMUS
Row Tier 5,MNXUS
RoW Tier 5,NCWUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
Preferred Partners,TMBUS
RoW Tier 3,UNIUS
RoW Tier 3,VIAUS
RoW Tier 5,BTSUS
RoW Tier 1,ANCUY
Preferred Partners,CLRUY
RoW Tier 3,MOVUY
RoW Tier 2,BLNUZ
RoW Tier 5,UCLUZ
RoW Tier 3,DGCVU
EU28+2 others,TIMIT
Vodafone networks,VFIT
EU28+2 others,WINIT
RoW Tier 1,MVNVE
RoW Tier 1,MOVVE
RoW Tier 5,BLNVN
RoW Tier 1,VIMVN
Row Tier 5,VIEVN
Preferred Partners,VINVN
Row Tier 5,CCTVG
RoW Tier 3,DGCJM
RoW Tier 1,CAWVB
RoW Tier 3,MARMA
RoW Tier 3,MEDMA
RoW Tier 3,SPTYE
RoW Tier 5,SBFYE
RoW Tier 3,ZAIZM
RoW Tier 5,ZAMZM
RoW Tier 5,MTNZM
